timestamp,raw_x,raw_y,kal_x,kal_y,odom_x,odom_y
1765029372,0.566,5.413,0.566,5.413,0.393,5.928
1765029372,0.593,5.452,0.569,5.417,0.393,5.928
1765029372,0.575,5.436,0.57,5.42,0.391,5.928
1765029373,0.598,5.436,0.575,5.423,0.392,5.927
1765029373,0.58,5.457,0.577,5.431,0.392,5.928
1765029374,0.6,5.462,0.583,5.439,0.392,5.927
1765029374,0.58,5.438,0.584,5.442,0.392,5.928
1765029374,0.613,5.428,0.593,5.441,0.392,5.928
1765029375,0.589,5.448,0.594,5.445,0.393,5.927
1765029375,0.576,5.454,0.592,5.449,0.392,5.928
1765029375,0.651,5.46,0.608,5.454,0.384,5.935
1765029376,0.694,5.531,0.634,5.477,0.383,5.942
1765029376,0.639,5.55,0.641,5.5,0.384,5.945
1765029377,0.606,5.584,0.637,5.529,0.386,5.948
1765029377,0.632,5.714,0.64,5.585,0.387,5.945
1765029377,0.571,5.719,0.626,5.633,0.386,5.938
1765029378,0.591,5.582,0.619,5.637,0.386,5.936
1765029378,0.551,5.675,0.603,5.661,0.387,5.934
1765029378,0.703,5.708,0.627,5.688,0.384,5.934
1765029379,0.598,5.676,0.621,5.701,0.382,5.933
1765029379,0.515,5.571,0.595,5.683,0.384,5.931
1765029380,0.545,5.69,0.58,5.696,0.385,5.93
1765029380,0.414,6.045,0.534,5.796,0.385,5.93
1765029380,0.628,5.639,0.55,5.776,0.375,5.924
1765029381,0.602,5.659,0.558,5.761,0.378,5.924
1765029381,0.593,5.672,0.564,5.749,0.377,5.922
1765029382,0.538,5.653,0.555,5.732,0.377,5.908
1765029382,0.512,5.558,0.541,5.693,0.371,5.883
1765029382,0.552,5.51,0.54,5.646,0.363,5.845
1765029383,0.519,5.467,0.531,5.594,0.357,5.824
1765029383,0.509,5.428,0.521,5.542,0.346,5.764
1765029383,0.466,5.356,0.502,5.479,0.333,5.694
1765029384,0.423,5.325,0.476,5.421,0.321,5.611
1765029384,0.369,5.246,0.441,5.353,0.306,5.503
1765029384,0.377,5.164,0.414,5.278,0.29,5.397
1765029386,0.249,4.861,0.291,5.005,0.245,5.116
1765029386,0.284,4.724,0.27,4.888,0.228,5.01
1765029386,0.216,4.529,0.237,4.744,0.204,4.875
1765029387,0.225,4.48,0.215,4.616,0.19,4.768
1765029387,0.149,4.431,0.179,4.503,0.176,4.7
1765029387,0.105,4.366,0.14,4.4,0.155,4.586
1765029388,0.118,4.31,0.113,4.308,0.137,4.482
1765029388,0.121,4.12,0.094,4.191,0.115,4.363
1765029388,0.098,4.007,0.075,4.072,0.1,4.245
1765029389,0.028,3.901,0.043,3.954,0.079,4.118
1765029389,0.037,3.873,0.022,3.857,0.071,4.067
1765029390,0.046,3.836,0.009,3.776,0.054,3.943
1765029390,-0.004,3.766,-0.012,3.7,0.034,3.832
1765029390,-0.109,3.572,-0.055,3.596,0.015,3.717
1765029391,-0.174,3.448,-0.105,3.486,-0.005,3.589
1765029391,-0.116,3.472,-0.13,3.41,-0.024,3.464
1765029391,-0.117,3.368,-0.148,3.328,-0.036,3.401
1765029392,-0.114,3.251,-0.16,3.239,-0.058,3.28
1765029392,-0.17,3.105,-0.181,3.136,-0.076,3.167
1765029393,-0.263,2.951,-0.221,3.018,-0.099,3.045
1765029393,-0.271,2.812,-0.254,2.893,-0.118,2.944
1765029393,-0.358,2.724,-0.301,2.774,-0.139,2.835
1765029394,-0.323,2.637,-0.329,2.661,-0.159,2.737
1765029394,-0.35,2.624,-0.357,2.573,-0.159,2.737
1765029395,-0.301,2.281,-0.365,2.422,-0.19,2.571
1765029395,-0.305,2.273,-0.369,2.302,-0.2,2.526
1765029395,-0.272,2.268,-0.362,2.21,-0.198,2.532
1765029396,-0.235,2.25,-0.343,2.14,-0.199,2.532
1765029396,-0.303,2.335,-0.343,2.113,-0.194,2.53
1765029397,-0.481,2.283,-0.527,2.049,-0.186,2.512
1765029398,-0.513,2.212,-0.545,2.043,-0.183,2.514
1765029398,-0.52,2.092,-0.56,2.015,-0.182,2.515
1765029398,-0.536,2.061,-0.573,1.988,-0.181,2.514
1765029399,-0.388,2.19,-0.543,2.004,-0.181,2.515
1765029399,-0.7,2.308,-0.595,2.054,-0.179,2.517
1765029399,-0.586,2.353,-0.608,2.112,-0.177,2.518
1765029400,-0.56,2.346,-0.611,2.162,-0.178,2.521
1765029400,-0.519,2.173,-0.6,2.163,-0.16,2.52
1765029401,-0.5,2.179,-0.584,2.164,-0.148,2.519
1765029401,-0.528,2.104,-0.577,2.147,-0.109,2.519
1765029401,-0.213,2.222,-0.488,2.163,-0.055,2.52
1765029402,-0.146,2.181,-0.394,2.167,0.012,2.52
1765029402,-0.129,2.137,-0.311,2.158,0.098,2.523
1765029403,0.016,2.161,-0.205,2.158,0.188,2.533
1765029403,0.132,2.166,-0.088,2.159,0.29,2.536
1765029403,0.205,2.177,0.026,2.162,0.391,2.539
1765029404,0.314,2.138,0.146,2.156,0.519,2.542
1765029404,0.415,2.099,0.267,2.14,0.612,2.543
